file_name,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,New_ID,Sex,Age,Ethnicity,Age_Range,mood,cluster
4001,0.414975345,0.034627706,4168.540921,4567.966833,8497.891865,0.06750682,-347.4096069,99.552948,-8.431785583,35.7712822,2.992955446,13.36505985,-21.42386055,20.79343605,-9.651550293,-0.542568326,2.074713707,4.419654846,-7.87714386,10.16848087,-6.623797894,7.919766426,1.529517293,-0.372419655,-4.235569,5.359349728,4001,'Male',19,'Igbo',16-20,Neutral,-1
4006,0.398397595,0.031764362,4519.84492,5015.885006,9584.142287,0.054512965,-390.7912903,89.18489075,12.61078548,42.18912888,8.210871696,14.41722107,-10.01475143,22.12083435,-3.575609922,-2.084434509,3.630510807,-0.129629582,-18.73988914,11.5933857,-7.473216057,-6.712951183,-5.700860023,7.490914822,-9.662656784,3.843634367,4006,'Female',26,'Ishan',26-30,Mixed/Complex,-1
4006,0.381394565,0.044725519,4531.734348,5045.404947,9856.297907,0.056834095,-373.0627136,102.8767853,3.54501915,23.89182091,12.28094578,4.257191181,-14.12202168,14.80926418,-7.712562561,-4.361877918,1.997612834,2.643402576,-14.35568714,7.959283829,0.785116374,-6.415630341,-2.196325779,7.998158455,-7.093341827,7.587471962,4006,'Female',26,'Ishan',26-30,Mixed/Complex,-1
4007,0.460878491,0.020447806,1151.807384,1455.332909,2264.34375,0.026458984,-407.6982727,226.7612152,-19.82415199,5.82770443,19.9948349,-8.359230042,0.473573864,-10.78189087,-1.969681859,9.116519928,-13.58425617,-0.900502682,10.64473438,-9.048696518,-3.073715448,2.767880678,-7.612709522,-0.55998522,-0.17506817,-7.708422661,4007,'Female',29,'Igbo',26-30,Calm/Relaxation,-1
4022,0.512625337,0.019626189,1886.908351,3430.870851,3668.758096,0.013633926,-450.8219299,161.6764832,24.08885193,33.69081116,5.184906006,9.762498856,-9.713852882,21.14948654,-8.041739464,-0.375710905,6.454422951,4.32722044,-4.573469639,8.213254929,-0.517354846,-0.70227921,-4.795119286,2.211891174,1.666596889,-2.634259701,4022,'Male',22,'Igbo',21-25,Calm/Relaxation,-1
4028,0.420885891,0.044997361,4166.656831,4749.308047,8756.094398,0.055730923,-334.8976746,96.41680145,7.374666691,48.57010269,9.079903603,9.883039474,-14.5749321,16.70623779,-8.319518089,3.342307091,-5.207551003,5.512665749,-4.110939026,6.515497208,-7.312936783,7.887737751,-2.640049458,-0.782586396,-5.518489838,-2.784701824,4028,'Female',28,'Hausa',26-30,Mixed/Complex,-1
4040,0.378150374,0.029275786,3683.420274,4911.200643,8417.658026,0.029424494,-346.0260925,121.3311234,6.394776821,22.27922821,3.745182276,16.0051403,-23.48681641,10.07205105,-9.557186127,2.865500689,-0.58511585,17.46554375,-11.23492336,3.894550323,-1.906680584,1.87550509,-11.37284565,11.09164047,-3.99909687,-4.921471596,4040,'Female',20,'Igbo',16-20,Neutral,-1
4061,0.510158002,0.032725338,4581.296189,4915.275249,9552.618685,0.045238322,-391.2205505,97.02132416,12.5246706,35.77221298,15.39620495,16.3280468,-6.255805969,19.4306221,-1.822662711,3.329236269,-2.218331814,15.28223705,0.332123548,-2.426148415,-1.220051289,8.652662277,-5.560782433,3.914492607,0.769884706,-0.819039404,4061,'Male',24,'Igbo',21-25,Neutral,-1
4061,0.484361053,0.028012777,4240.515548,4981.695626,8982.794944,0.03049289,-394.8676758,108.2320709,17.5255661,31.22230911,9.156965256,11.74001408,-11.67289925,23.87020111,1.942754984,6.975019455,-10.59277916,12.4528656,-1.094168782,1.014407754,-1.619930148,10.66043377,-11.12546062,4.268401146,0.032392867,-0.777328372,4061,'Male',24,'Igbo',21-25,Neutral,-1
4066,0.557146609,0.030023756,4589.285182,4972.992729,9543.186695,0.052864304,-362.6074829,103.8687973,7.003785133,27.05454636,17.92170715,23.31262589,-11.04144764,15.55702591,1.070864916,2.587657452,-1.203648329,12.2285347,-7.152292728,7.795262814,7.872603416,-2.843294144,-1.670077682,7.948337078,-9.052805901,6.850979805,4066,'Male',36,'Igbo',36-40,Neutral,-1
